"","horizon","modN","crps1","crps2","N","w_i1","w_i2"
"1",2,"mod27_",7.99343930976351,0.568382207233167,544,0.031803530703929,0.0586237779535356
"2",2,"mod13_",8.58566724958399,0.692400834167986,544,0.0275673229946897,0.0395038648045746
"3",2,"mod15_",48.1787662072702,0.708059656712325,544,0.000875450009894468,0.0377759200644526
"4",2,"mod30_",8.58405198442919,0.74324052424392,544,0.0275776986834212,0.0342843554552834
"5",2,"mod19_",9.4560844472638,0.750472519519694,544,0.0227258437388234,0.0336267707426698
"6",2,"mod50_",7.82556372724805,0.832844883710139,544,0.0331826781943838,0.0273040145580413
"7",2,"mod52_",7.80460521298398,0.834203248889248,544,0.033361135248937,0.0272151666037858
"8",2,"mod49_",7.83164360891831,0.836821370536986,544,0.0331311772689805,0.0270451395058477
"9",2,"PC_lags",7.57345781176249,0.854297754654066,544,0.0354286235052685,0.0259499318301981
"10",2,"PC_weather",7.57610152595673,0.86016171974281,544,0.0354039018690983,0.0255973218508361
"11",2,"PC_lags_weather",7.57898060347054,0.860815395695921,544,0.0353770087491438,0.0255584610199732
"12",2,"PC_without_seasonality",8.01491311248042,0.8783453234131,544,0.0316333409953641,0.0245484550144056
"13",2,"PC_without_seasonality_and_weather",8.17795213426452,0.884889815134908,544,0.0303846033713056,0.0241866855338936
"14",2,"mod60_",8.25186930249889,0.888351006956343,544,0.0298426935098066,0.0239985804428934
"15",2,"modhhh4_power_precip_temp_endmc1_",14.0190514436616,0.908191964416941,544,0.0103396405564722,0.02296145693395
"16",2,"mod61_",8.17565329780068,0.929677567682031,544,0.0304016929057453,0.0219124050510774
"17",2,"modhhh4_power_precip_temp_",14.5166661273495,0.946147787374724,544,0.00964292798107608,0.0211561576675658
"18",2,"modhhh4_power_precip_temp_dist_",14.5166661273495,0.946147787374724,544,0.00964292798107608,0.0211561576675658
"19",2,"mod12_",8.32697945211293,0.959537113777038,544,0.029306753685752,0.0205698533909219
"20",2,"mod36_",9.95410069701133,0.966501566471035,544,0.0205087240021101,0.0202744754427706
"21",2,"modhhh4_basic_",15.2940843263247,0.971322395501318,544,0.00868751843890368,0.020073723908309
"22",2,"mod54_",8.32687460394249,0.972382558049559,544,0.0293074917246914,0.0200299760873704
"23",2,"mod43_",8.36849376954528,0.976127406379061,544,0.0290167057659634,0.0198765835321828
"24",2,"mod45_",8.37836472752201,0.97650457508619,544,0.0289483740644158,0.019861232088465
"25",2,"mod59_",8.38292366871214,0.977051951882832,544,0.0289168962521412,0.0198389844848069
"26",2,"mod56_",8.40592606751486,0.977755013403241,544,0.0287588534883764,0.0198104640237681
"27",2,"mod10_",8.48445898488272,0.980724620419572,544,0.0282289283271708,0.0196906745844025
"28",2,"modhhh4_power_",15.322253052913,0.982887897837004,544,0.00865560519674903,0.0196040939769859
"29",2,"modhhh4_np_",15.3395629114356,0.983141735475918,544,0.00863608146373441,0.019593972110854
"30",2,"modhhh4_power_lag12_",15.410373894106,0.985583799044569,544,0.00855689786650464,0.0194969931530705
"31",2,"mod11_",8.58022550529553,0.986367333336893,544,0.0276023015377009,0.01946603005313
"32",2,"mod31_",11.7723103877968,0.986380324505876,544,0.0146628803895058,0.0194655172999572
"33",2,"mod6_",8.59687440786056,0.988218630756363,544,0.0274954945700736,0.0193931642835262
"34",2,"mod1_",8.59670067549317,0.988504853538559,544,0.0274966059047154,0.0193819352808531
"35",2,"mod9_",8.63608219022124,0.99122944808285,544,0.0272464024006363,0.0192755313829255
"36",2,"modhhh4_power_cum_lag24_",15.3432609884989,0.991629553528724,544,0.00863191897884402,0.0192599798310946
"37",2,"mod33_",11.7964808799341,0.992162509850108,544,0.0146028546997799,0.0192392937620977
"38",2,"mod7_",8.66781041574014,0.995120166380663,544,0.0270472984150332,0.0191250991914079
"39",2,"mod3_",8.71671420015678,0.999284202659429,544,0.0267446603394439,0.0189660419763629
"40",2,"modhhh4_power_precip_temp_endmc2_",16.1760628621133,1.00193554893909,544,0.00776599395665407,0.0188657979806895
"41",2,"mod2_",9.65143204879011,1.08983957779703,544,0.0218151993246847,0.015945186394873
"42",2,"mod5_",9.42980234625254,1.09070709695508,544,0.0228527001143502,0.0159198317352879
"43",2,"mod57_",10.0336886848699,1.14007538906788,544,0.0201846608246493,0.014570941343337
